name,description,calories,price,cusinetype
Twice-Cooked Pork,Pork belly stir-fried with peppers and leeks,650,14.49,Chinese
Honey Walnut Shrimp,Crispy shrimp in sweet creamy sauce,670,16.49,Chinese
Sesame Chicken,Crispy chicken coated in sesame sauce,710,13.99,Chinese
Moo Shu Pork,Stir-fried pork and veggies with pancakes,600,14.49,Chinese
Chicken with Cashew Nuts,Wok-seared chicken with cashews and veggies,580,13.49,Chinese
Beef with Black Bean Sauce,Beef stir-fried with fermented black beans,610,14.49,Chinese
Steamed Vegetable Dumplings,Light dumplings filled with greens,280,8.49,Chinese
Scallion Pancakes,Crispy layered flatbread with scallions,320,7.99,Chinese
Cantonese Roast Duck,Roast duck with crispy skin and spices,780,19.99,Chinese
Salt and Pepper Squid,Crispy squid with chili and scallions,540,15.49,Chinese
Chicken Chow Mein,Noodles stir-fried with chicken and cabbage,590,12.49,Chinese
Fried Sesame Balls,Glutinous rice balls filled with sweet bean paste,320,6.99,Chinese
Salmon Nigiri,Hand-formed sushi rice topped with fresh salmon,180,7.99,Japanese
Tuna Sashimi Plate,Slices of raw tuna served with soy and wasabi,210,13.99,Japanese
California Roll,"Crab, avocado, and cucumber sushi roll",260,8.99,Japanese
Spicy Tuna Roll,Tuna mixed with chili mayo in a sushi roll,280,9.49,Japanese
Tempura Udon,Thick noodles in broth with shrimp tempura,540,14.49,Japanese
Chicken Katsu Curry,Breaded chicken cutlet with Japanese curry,780,15.99,Japanese
Pork Tonkatsu,Crispy breaded pork cutlet with tonkatsu sauce,720,14.99,Japanese
Yakisoba,Stir-fried noodles with vegetables and pork,560,12.99,Japanese
Teriyaki Salmon,Grilled salmon glazed with teriyaki sauce,520,16.49,Japanese
Chicken Teriyaki Bento,"Lunch box with rice, chicken, and pickles",680,15.49,Japanese
Beef Gyudon,Rice bowl topped with simmered beef and onions,640,12.99,Japanese
Unagi Don,Grilled eel over steamed rice,700,19.49,Japanese
Shrimp Tempura Platter,Lightly battered fried shrimp and vegetables,590,15.99,Japanese
Miso Ramen,Ramen noodles in miso-based broth with pork,730,14.99,Japanese
Shoyu Ramen,Soy sauce broth ramen with chashu pork,710,14.49,Japanese
Chicken Karaage,Japanese-style fried chicken bites,520,11.99,Japanese
Okonomiyaki,Savory cabbage pancake with toppings,620,13.49,Japanese
Takoyaki,Octopus-filled batter balls with sauce and bonito,380,9.49,Japanese
Agedashi Tofu,Crispy fried tofu in dashi broth,290,8.99,Japanese
Edamame Bowl,Steamed soybeans with sea salt,180,6.49,Japanese
Gyoza Dumplings,Pan-fried pork and cabbage dumplings,340,8.99,Japanese
Soba Noodle Salad,Buckwheat noodles with sesame dressing,420,11.49,Japanese
Chirashi Sushi Bowl,Assorted sashimi over sushi rice,640,18.99,Japanese
Salmon Poke Don,Marinated salmon cubes over rice,560,15.99,Japanese
Tofu Teriyaki,Grilled tofu with teriyaki glaze and vegetables,440,11.99,Japanese
Katsu Donburi,Pork cutlet and egg over steaming rice,710,13.99,Japanese
Matcha Cheesecake Slice,Green tea flavored cheesecake,420,7.49,Japanese
Green Tea Ice Cream,Creamy matcha ice cream scoop,210,5.49,Japanese
Seaweed Salad,Marinated wakame seaweed with sesame,140,6.99,Japanese
Salmon Skin Roll,Crispy salmon skin and cucumber roll,260,8.99,Japanese
Chicken Tacos al Pastor,Marinated chicken tacos with pineapple,520,11.49,Mexican
Carne Asada Burrito,"Grilled steak, rice, beans, and salsa in a tortilla",780,13.99,Mexican
Chicken Quesadilla,Grilled tortilla with cheese and chicken,640,11.99,Mexican
Beef Enchiladas,Corn tortillas stuffed with beef and chili sauce,720,12.99,Mexican
Cheese Nachos Supreme,"Crispy chips with cheese, jalapeños, and salsa",690,10.99,Mexican
Fish Tacos Baja Style,Crispy fish with cabbage and crema,560,12.49,Mexican
Chicken Fajitas,Sizzling chicken strips with peppers and onions,700,15.49,Mexican
Vegetarian Fajita Plate,Grilled vegetables with warm tortillas,580,13.49,Mexican
Chiles Rellenos,Stuffed poblano peppers with cheese and sauce,640,13.99,Mexican
Huevos Rancheros,Eggs over tortillas with ranchero sauce,520,10.49,Mexican
Taco Salad Bowl,"Crispy shell filled with lettuce, beef, and beans",650,12.49,Mexican
Chicken Tortilla Soup,Broth with shredded chicken and crispy strips,320,8.99,Mexican
Steak Tostadas,Crispy tortillas topped with steak and beans,610,11.99,Mexican
Guacamole and Chips,Fresh avocado dip with tortilla chips,420,9.49,Mexican
Chicken Mole,Chicken in rich chocolate chili sauce,680,14.99,Mexican
Beef Tamales,Steamed masa pockets stuffed with beef,540,11.49,Mexican
Carnitas Plate,Slow-cooked shredded pork with rice and beans,760,14.49,Mexican
Shrimp Ceviche Tostada,Citrus-marinated shrimp on crispy tortilla,340,12.99,Mexican
Rice and Beans Side,Traditional Mexican rice with refried beans,320,6.99,Mexican
Elote Street Corn,"Grilled corn with mayo, cheese, and chili",280,6.49,Mexican
Chicken Tinga Tacos,Smoky chipotle shredded chicken tacos,540,11.49,Mexican
Beef Taco Trio,Three hard-shell tacos with seasoned beef,580,10.99,Mexican
Vegetable Burrito,"Grilled veggies, rice, and beans in tortilla",650,11.49,Mexican
Churros with Chocolate,Cinnamon sugar fried dough sticks,430,7.49,Mexican
Sopapillas with Honey,Fried pastry pillows drizzled with honey,390,6.99,Mexican
Queso Fundido,Melted cheese dip with chorizo and tortillas,520,10.49,Mexican
Chicken Pozole,Hearty hominy soup with shredded chicken,380,9.99,Mexican
Beef Sopes,Thick corn cakes topped with beef and lettuce,560,11.49,Mexican
Shrimp Fajitas,Sizzling shrimp with bell peppers and onions,690,16.49,Mexican
Flan Caramel Custard,Traditional caramel-topped custard dessert,310,6.99,Mexican
Butter Chicken,Creamy tomato-based curry with tender chicken,720,15.49,Indian
Chicken Tikka Masala,Grilled chicken in spiced tomato sauce,700,15.99,Indian
Palak Paneer,Spinach curry with cubes of paneer cheese,520,13.99,Indian
Chana Masala,Spiced chickpea curry in tomato gravy,480,11.99,Indian
Lamb Rogan Josh,Slow-cooked lamb in aromatic red curry,680,16.99,Indian
Vegetable Biryani,Fragrant basmati rice with mixed vegetables,560,13.49,Indian
Chicken Biryani,Spiced rice layered with marinated chicken,720,15.99,Indian
Dal Tadka,Yellow lentils tempered with garlic and spices,420,10.99,Indian
Paneer Butter Masala,Paneer cubes in rich butter tomato sauce,640,14.49,Indian
Aloo Gobi,Stir-fried cauliflower and potatoes with spices,430,11.49,Indian
Tandoori Chicken,Yogurt-marinated chicken roasted in tandoor,610,15.49,Indian
Garlic Naan,Leavened flatbread topped with garlic and butter,260,4.49,Indian
Plain Naan,Soft tandoor-baked white flour bread,220,3.99,Indian
Lamb Vindaloo,Spicy and tangy lamb curry with potatoes,720,16.49,Indian
Saag Lamb,Lamb simmered in spinach gravy,660,16.49,Indian
Malai Kofta,Vegetable dumplings in creamy cashew sauce,640,14.49,Indian
Bhindi Masala,Okra stir-fried with onions and spices,410,11.99,Indian
Pani Puri Plate,Crispy shells filled with spicy tangy water,320,8.99,Indian
Samosa Chaat,Crushed samosas topped with chickpeas and yogurt,450,9.99,Indian
Onion Bhaji,Crispy onion fritters with chutney,380,7.99,Indian
Masala Dosa,Crispy rice crepe stuffed with spiced potatoes,520,11.99,Indian
Idli Sambar,Steamed rice cakes with lentil stew,380,9.99,Indian
Chicken Korma,Mild creamy curry with nuts and spices,690,15.49,Indian
Goan Fish Curry,Coconut-based spicy fish curry,630,15.99,Indian
Jeera Rice,Basmati rice flavored with cumin seeds,260,4.99,Indian
Gulab Jamun,Fried milk dumplings in sugar syrup,340,5.99,Indian
Rasmalai,Soft cheese patties in sweet milk sauce,310,6.49,Indian
Mango Lassi,Sweet yogurt drink blended with mango,250,4.99,Indian
Tandoori Shrimp,Clay oven roasted shrimp with spices,520,17.49,Indian
Veg Korma,Mixed vegetables in rich cashew gravy,600,13.99,Indian
Pad Thai Chicken,Stir-fried rice noodles with chicken and peanuts,640,13.99,Thai
Green Curry Chicken,Coconut green curry with bamboo shoots,620,14.49,Thai
Red Curry Shrimp,Spicy red curry with shrimp and vegetables,610,15.49,Thai
Massaman Beef Curry,"Mild curry with beef, potatoes, and peanuts",700,15.99,Thai
Tom Yum Soup,Hot and sour soup with shrimp and lemongrass,220,9.49,Thai
Tom Kha Gai,Coconut soup with chicken and galangal,260,9.99,Thai
Pad See Ew,Wide rice noodles stir-fried with soy and broccoli,620,13.49,Thai
Drunken Noodles,Spicy stir-fried noodles with basil and chilies,650,13.99,Thai
Thai Basil Chicken,Ground chicken stir-fried with basil and chili,580,13.49,Thai
Pineapple Fried Rice,"Fried rice with pineapple, cashews, and egg",560,12.99,Thai
Papaya Salad Som Tum,Shredded green papaya salad with peanuts,280,10.49,Thai
Crispy Spring Rolls,Fried rolls filled with glass noodles and veggies,260,7.99,Thai
Chicken Satay Skewers,Grilled marinated chicken with peanut sauce,420,10.99,Thai
Larb Gai Salad,Minced chicken salad with lime and mint,340,11.49,Thai
Pad Kee Mao Seafood,Spicy noodles with mixed seafood,660,15.49,Thai
Yellow Curry Vegetables,Coconut yellow curry with mixed vegetables,540,13.49,Thai
Thai Fried Chicken,Crispy marinated chicken with dipping sauce,620,13.99,Thai
Crispy Tofu with Chili Basil,Fried tofu tossed with basil and chilies,460,12.49,Thai
Thai Beef Salad,"Grilled beef with herbs, lime, and chilies",480,13.99,Thai
Mango Sticky Rice,Sweet sticky rice with fresh mango slices,420,8.99,Thai
Thai Iced Tea,Sweet creamy black tea with spices,230,4.49,Thai
Egg Fried Rice Thai Style,Fried rice with egg and fish sauce,520,11.49,Thai
Panang Curry Chicken,Thick peanut curry with chicken and lime leaves,640,14.99,Thai
Crispy Fish with Chili Sauce,Deep-fried fish topped with spicy chili sauce,710,17.49,Thai
Glass Noodle Salad,Bean thread noodles with seafood and herbs,360,12.99,Thai
Thai Omelette over Rice,Fluffy egg omelette served over jasmine rice,520,9.99,Thai
Grilled Pork Skewers Moo Ping,Marinated pork skewers with sticky rice,580,12.99,Thai
Pumpkin Red Curry,Red curry simmered with pumpkin and basil,540,13.49,Thai
Fried Banana with Honey,Crispy banana fritters drizzled with honey,360,7.49,Thai
Coconut Ice Cream,Homemade coconut milk ice cream scoop,250,5.49,Thai
Pho Beef Bowl,Rice noodle soup with sliced beef and herbs,520,13.49,Vietnamese
Pho Chicken Bowl,Chicken noodle soup with aromatic broth,480,12.99,Vietnamese
Banh Mi Sandwich,"Crispy baguette with pork, pickles, and herbs",560,10.49,Vietnamese
Fresh Spring Rolls,Rice paper rolls with shrimp and herbs,260,8.99,Vietnamese
Fried Spring Rolls Cha Gio,Crispy rolls with minced pork and glass noodles,320,8.99,Vietnamese
Bun Thit Nuong,Rice vermicelli with grilled pork and herbs,540,12.99,Vietnamese
Bun Cha Hanoi,Grilled pork patties with vermicelli and herbs,580,13.49,Vietnamese
Com Tam Broken Rice Pork,Broken rice with grilled pork chop and egg,640,13.49,Vietnamese
Lemongrass Chicken,Grilled chicken marinated with lemongrass,520,12.99,Vietnamese
Shaking Beef Bo Luc Lac,Seared beef cubes with pepper and greens,610,15.99,Vietnamese
Crispy Fish with Dill,Fried fish fillets with dill and turmeric,580,15.49,Vietnamese
Vegetarian Pho,Noodle soup with tofu and vegetables,440,12.49,Vietnamese
Tofu Vermicelli Bowl,Rice noodles with fried tofu and herbs,460,11.99,Vietnamese
Vietnamese Iced Coffee,Strong coffee with sweet condensed milk,210,4.99,Vietnamese
Pandan Waffle,Crispy pandan-flavored waffle,330,6.49,Vietnamese
Claypot Caramelized Fish,Fish braised in savory caramel sauce,560,14.49,Vietnamese
Beef Banh Mi,Baguette with marinated grilled beef,580,10.99,Vietnamese
Chicken Banh Mi,Baguette with shredded chicken and pickles,540,10.49,Vietnamese
Grilled Shrimp Skewers,Shrimp marinated in garlic and lemongrass,320,12.99,Vietnamese
Vietnamese Pork Meatballs,Savory pork meatballs with herbs,420,11.49,Vietnamese
Goi Cuon Platter,Assorted fresh rolls with dipping sauces,340,12.49,Vietnamese
Papaya Salad Vietnamese Style,Shredded green papaya with herbs and peanuts,260,9.99,Vietnamese
Egg Coffee Cup,Frothy whipped egg over strong coffee,240,5.49,Vietnamese
Sticky Rice with Mung Bean,Steamed sticky rice with mung bean paste,330,7.49,Vietnamese
BBQ Pork Vermicelli,Noodles topped with barbecued pork slices,560,12.99,Vietnamese
Coconut Tapioca Pudding,Tapioca pearls in sweet coconut milk,280,6.49,Vietnamese
Garlic Morning Glory,Stir-fried water spinach with garlic,200,8.99,Vietnamese
Vietnamese Chicken Wings,Fried wings glazed with fish sauce caramel,520,11.49,Vietnamese
Rice Paper Pizza Banh Trang Nuong,Crispy grilled rice paper with toppings,340,9.49,Vietnamese
Fried Banana with Sesame,Banana fritters coated with sesame seeds,360,7.49,Vietnamese
Bibimbap Bowl,"Mixed rice with vegetables, beef, and gochujang",620,13.99,Korean
Kimchi Jjigae,Spicy kimchi stew with pork and tofu,480,11.99,Korean
Bulgogi Beef Plate,Marinated grilled beef slices with rice,640,15.49,Korean
Galbi Short Ribs,Grilled marinated beef short ribs,780,19.49,Korean
Japchae Noodles,Stir-fried glass noodles with vegetables,520,12.99,Korean
Tteokbokki,Spicy rice cakes in chili sauce,540,11.49,Korean
Kimchi Fried Rice,Fried rice with kimchi and egg,560,11.99,Korean
Samgyeopsal Pork Belly,Grilled pork belly with lettuce wraps,760,17.49,Korean
Korean Fried Chicken,Crispy double-fried chicken with sweet chili,720,15.49,Korean
Soondubu Jjigae,Soft tofu stew with seafood and egg,460,12.99,Korean
Haemul Pajeon,Seafood and scallion savory pancake,580,13.99,Korean
Kimchi Pancake,Pan-fried pancake with kimchi pieces,520,11.99,Korean
Gimbap Roll,Seaweed rice roll with vegetables and egg,420,8.99,Korean
Spicy Cold Noodles Naengmyeon,Chewy noodles in cold spicy broth,480,12.49,Korean
Jjajangmyeon,Noodles with black bean sauce and pork,640,12.99,Korean
Rice Ball Jumeokbap,Seasoned rice balls with sesame and seaweed,260,7.49,Korean
Odeng Fish Cake Soup,Skewered fish cakes in warm broth,300,9.49,Korean
Kimbap Tuna Roll,Seaweed roll filled with tuna salad,440,9.49,Korean
Spicy Pork Bulgogi,Stir-fried spicy marinated pork slices,650,14.49,Korean
Dak Galbi,Spicy stir-fried chicken with cabbage,680,14.99,Korean
Bean Sprout Soup,Light soup with soybean sprouts,120,6.99,Korean
Bibim Naengmyeon,Cold mixed noodles with spicy sauce,500,12.49,Korean
Cheese Tteokbokki,Rice cakes topped with melted cheese,610,12.49,Korean
Spam Kimchi Fried Rice,Kimchi rice with spam cubes,600,11.99,Korean
Corn Cheese Skillet,Baked corn and cheese appetizer,420,9.49,Korean
Korean Egg Roll Gyeran Mari,Rolled omelette with vegetables,260,7.99,Korean
Honey Butter Fried Chicken,Crispy chicken glazed with honey butter,730,15.99,Korean
Sweet Red Bean Bungeoppang,Fish-shaped pastry filled with red bean,320,6.49,Korean
Hotteok Sweet Pancake,Filled pancake with brown sugar and nuts,340,6.99,Korean
Yuja Citrus Tea,Warm yuzu citrus marmalade tea drink,140,4.49,Korean
Hummus with Pita,Chickpea dip with warm pita bread,380,8.99,Mediterranean
Falafel Platter,Crispy chickpea fritters with tahini and salad,520,11.99,Mediterranean
Chicken Shawarma Plate,Spiced roasted chicken with rice and salad,640,13.99,Mediterranean
Beef Kofta Kebabs,Grilled minced beef skewers with herbs,620,14.49,Mediterranean
Lamb Gyro Wrap,Sliced lamb in flatbread with tzatziki,590,11.99,Mediterranean
Greek Salad,"Tomatoes, cucumber, olives, and feta",320,9.99,Mediterranean
Tabbouleh Salad,"Parsley, bulgur, and tomato salad",260,8.99,Mediterranean
Baba Ganoush,Smoky eggplant dip with olive oil,300,8.99,Mediterranean
Stuffed Grape Leaves,Rice and herb stuffed grape leaves,260,8.49,Mediterranean
Grilled Halloumi Cheese,Seared halloumi slices with lemon,340,10.49,Mediterranean
Moussaka Slice,"Layered eggplant, potatoes, and ground meat",640,13.99,Mediterranean
Chicken Souvlaki Skewers,Marinated chicken grilled on skewers,520,13.49,Mediterranean
Lamb Souvlaki Plate,Grilled lamb skewers with lemon potatoes,680,16.49,Mediterranean
Mediterranean Mezze Platter,"Assortment of dips, olives, and breads",620,16.99,Mediterranean
Shakshuka Skillet,Eggs poached in spiced tomato sauce,420,11.49,Mediterranean
Grilled Vegetable Platter,"Charred zucchini, peppers, and eggplant",380,12.49,Mediterranean
Spinach Pie Spanakopita,Filo pastry with spinach and feta filling,420,9.99,Mediterranean
Lentil Soup,Hearty lentil soup with olive oil and lemon,260,7.99,Mediterranean
Chicken Pita Wrap,Grilled chicken with lettuce and tzatziki,520,10.99,Mediterranean
Lamb Shawarma Wrap,Spiced lamb with garlic sauce in pita,610,12.49,Mediterranean
Roasted Eggplant Salad,Charred eggplant with tomatoes and herbs,280,9.49,Mediterranean
Couscous with Vegetables,Steamed couscous with roasted vegetables,460,11.49,Mediterranean
Fattoush Salad,Toasted pita salad with sumac dressing,330,9.99,Mediterranean
Grilled Salmon with Herbed Couscous,Salmon fillet over lemon couscous,580,17.49,Mediterranean
Olive Tapenade Toasts,Crusty bread topped with olive spread,260,8.49,Mediterranean
Baklava Triangle,Layered filo pastry with nuts and honey,380,6.99,Mediterranean
Kebap Rice Bowl,Grilled meat over rice with yogurt sauce,640,13.99,Mediterranean
Roasted Chickpea Bowl,Spiced chickpeas with tomato and cucumber,420,11.49,Mediterranean
Tomato and Feta Bruschetta,Toasted bread with tomato and feta,300,8.99,Mediterranean
Stuffed Bell Peppers,Peppers filled with rice and herbs,460,11.99,Mediterranean
Classic Cheeseburger,Grilled beef patty with cheese and pickles,780,12.49,American
Bacon Double Burger,Double beef patties with bacon and cheese,980,14.99,American
BBQ Pulled Pork Sandwich,Slow-cooked pork on a toasted bun,740,12.99,American
Grilled Chicken Sandwich,Marinated grilled chicken with lettuce,620,11.49,American
Buffalo Chicken Wings,Spicy wings served with blue cheese dip,680,13.49,American
Caesar Salad with Chicken,Romaine salad with grilled chicken and croutons,520,11.99,American
House Garden Salad,Mixed greens with tomato and cucumber,260,8.49,American
Mac and Cheese Bowl,Creamy baked macaroni with cheddar,640,10.99,American
BBQ Ribs Half Rack,Slow-smoked pork ribs with barbecue glaze,860,18.99,American
Fried Chicken Basket,Crispy fried chicken pieces and fries,820,14.49,American
Chicken Tenders Meal,Breaded chicken strips with dipping sauce,720,11.99,American
Philly Cheesesteak,Sliced beef with onions and melted provolone,790,13.49,American
Chili Cheese Fries,French fries topped with chili and cheese,680,9.99,American
Loaded Baked Potato,"Baked potato with cheese, bacon, and sour cream",520,8.99,American
New York Strip Steak,Grilled strip steak with herb butter,880,24.99,American
Fried Catfish Plate,Cornmeal-breaded catfish with tartar sauce,760,16.49,American
Turkey Club Sandwich,Triple-decker sandwich with turkey and bacon,640,12.49,American
Grilled Cheese Sandwich,Melted cheese between toasted bread,520,7.99,American
Tomato Basil Soup,Creamy tomato soup with basil,280,7.49,American
Chicken Noodle Soup,"Broth with chicken, noodles, and vegetables",260,7.49,American
Buttermilk Pancake Stack,Fluffy pancakes with maple syrup,620,9.99,American
Chicken and Waffles,Crispy chicken over Belgian waffle,840,14.99,American
Apple Pie Slice,Classic apple pie with cinnamon,380,6.49,American
Chocolate Brownie Sundae,Warm brownie with ice cream and fudge,520,7.99,American
Onion Rings Basket,Beer-battered onion rings,460,7.99,American
Cobb Salad,"Salad with chicken, bacon, egg, and blue cheese",540,12.49,American
BBQ Chicken Pizza,Pizza topped with barbecue chicken and onions,780,13.99,American
Veggie Burger,Grilled vegetable patty with toppings,640,11.49,American
Classic Hot Dog,Beef hot dog with mustard and relish,420,6.99,American
Strawberry Milkshake,Thick milkshake with strawberries and cream,430,5.99,American
Coq au Vin,Chicken braised in red wine with mushrooms,640,19.49,French
Boeuf Bourguignon,Beef stewed in red wine with vegetables,720,21.99,French
Ratatouille,"Stewed eggplant, zucchini, and peppers",380,13.49,French
Quiche Lorraine,Savory tart with bacon and cheese,520,11.99,French
Croque Monsieur,Grilled ham and cheese sandwich with béchamel,580,12.49,French
Nicoise Salad,"Tuna salad with olives, egg, and green beans",460,13.99,French
French Onion Soup,Caramelized onion soup with cheese toast,380,9.99,French
Duck Confit,Slow-cooked duck leg with crispy skin,690,22.49,French
Steak Frites,Grilled steak with crispy fries,820,23.99,French
Salmon en Papillote,Salmon baked in parchment with herbs,540,19.49,French
Moules Marinières,Mussels steamed in white wine and garlic,420,17.49,French
Rillettes de Porc,Shredded pork spread with bread,460,12.49,French
Cheese Plate Selection,Assorted French cheeses with fruit,520,17.99,French
Poulet Rôti,Herb-roasted half chicken,640,18.99,French
Pommes Frites,Classic thin-cut French fries,360,6.99,French
Gratin Dauphinois,Creamy baked potatoes with cheese,520,9.99,French
Salade de Chèvre Chaud,Green salad with warm goat cheese toasts,420,13.49,French
Bouillabaisse,Provencal fish stew with saffron,580,22.99,French
Tarte Tatin,Caramelized upside-down apple tart slice,380,7.49,French
Crème Brûlée,Vanilla custard topped with caramelized sugar,320,7.99,French
Chocolate Mousse,Rich dark chocolate whipped mousse,310,7.49,French
Macaron Trio,Three assorted almond meringue cookies,260,6.99,French
Pain au Chocolat,Buttery pastry filled with chocolate,320,4.99,French
Baguette with Butter,Warm crusty baguette and salted butter,260,4.49,French
Salade Lyonnaise,Frisée salad with bacon and poached egg,420,12.99,French
Croissant Sandwich Ham and Cheese,Flaky croissant filled with ham and cheese,540,9.99,French
Duck Pâté Toasts,Rustic duck pâté on toasted bread,380,11.49,French
Rump Steak with Shallot Butter,Pan-seared steak with shallot butter sauce,780,22.49,French
Profiteroles,Cream puffs filled with ice cream and chocolate,420,8.49,French
Clafoutis aux Cerises,Baked custard dessert with cherries,340,7.49,French
Seafood Paella,"Saffron rice with shrimp, mussels, and squid",720,19.99,Spanish
Chicken and Chorizo Paella,Paella with chicken thighs and chorizo,740,18.99,Spanish
Patatas Bravas,Fried potatoes with spicy tomato sauce,420,8.99,Spanish
Tortilla Española,Spanish omelette with potatoes and onions,380,9.49,Spanish
Gambas al Ajillo,Shrimp sautéed with garlic and olive oil,420,14.99,Spanish
Jamón Ibérico Plate,Thin slices of cured Iberian ham,360,18.99,Spanish
Pan con Tomate,Toasted bread rubbed with tomato and olive oil,260,7.49,Spanish
Croquetas de Jamón,Crispy croquettes filled with ham,380,9.99,Spanish
Albóndigas Meatballs,Spanish-style meatballs in tomato sauce,460,11.49,Spanish
Pulpo a la Gallega,Octopus with paprika and potatoes,520,17.99,Spanish
Calamares Fritos,Fried calamari rings with lemon,480,12.49,Spanish
Ensalada Mixta,"Mixed salad with tuna, egg, and olives",320,9.99,Spanish
Bacalao a la Vizcaína,Salt cod in red pepper sauce,540,17.49,Spanish
Pimientos de Padrón,Fried green peppers with sea salt,260,8.99,Spanish
Boquerones en Vinagre,Marinated anchovies in vinegar and garlic,220,10.49,Spanish
Fabada Asturiana,White bean stew with sausage and pork,680,15.99,Spanish
Huevos Rotos,Broken eggs over fried potatoes and ham,620,12.99,Spanish
Empanadas Gallegas,Baked pastry filled with tuna and peppers,420,10.99,Spanish
Chipirones a la Plancha,Grilled baby squid with olive oil,420,16.49,Spanish
Pa amb Oli,"Rustic bread with olive oil, tomato, and cheese",320,9.49,Spanish
Crema Catalana,Custard dessert with caramelized sugar,310,7.49,Spanish
Churros con Chocolate,Fried dough sticks with hot chocolate,430,7.99,Spanish
Tarta de Santiago,Almond cake slice dusted with sugar,340,7.49,Spanish
Gazpacho Andaluz,Chilled tomato and vegetable soup,180,8.49,Spanish
Salmorejo Cordobés,Thick chilled tomato soup with ham and egg,260,8.99,Spanish
Arroz Negro,Black rice with squid ink and seafood,690,18.99,Spanish
Pinchos Morunos,Spiced grilled meat skewers,520,13.99,Spanish
Montaditos Assortment,Small open-faced sandwiches with toppings,420,11.99,Spanish
Caldo Gallego,Galician soup with greens and beans,280,9.49,Spanish
Tigres Stuffed Mussels,Breaded stuffed mussels baked with sauce,360,10.99,Spanish
